Enfermedad,Sintoma_1,Sintoma_2,Sintoma_3,Sintoma_4,Sintoma_5,Sintoma_6,Sintoma_7,Sintoma_8,Sintoma_9,Sintoma_10,Sintoma_11,Sintoma_12,Sintoma_13,Sintoma_14,Sintoma_15,Sintoma_16,Sintoma_17
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,hambre excesiva,aumento del apetito,poliuria,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,aumento del apetito,poliuria,,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Gastroenteritis,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,,
Gastroenteritis,vómitos,deshidratación,diarrea,,,,,,,,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,diarrea,,,,,,,,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,,,,,,,,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Gastroenteritis,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,,
Gastroenteritis,vómitos,deshidratación,diarrea,,,,,,,,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,diarrea,,,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,
Asma bronquial,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,,
Asma bronquial,fatiga,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,,
Asma bronquial,fatiga,tos,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,antecedentes familiares,esputo mucoso,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,esputo mucoso,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,
Asma bronquial,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,,
Asma bronquial,fatiga,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,
Hipertensión,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,,
Hipertensión,dolor de cabeza,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,falta de concentración,,,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,,,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,
Hipertensión,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,,
Hipertensión,dolor de cabeza,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,
Migraña,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,,
Migraña,acidez,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,,
Migraña,acidez,indigestión,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,depresión,irritabilidad,alteraciones visuales,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,irritabilidad,alteraciones visuales,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,alteraciones visuales,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Espondilosis cervical,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,,
Espondilosis cervical,dolor de espalda,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,mareos,pérdida de equilibrio,,,,,,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,pérdida de equilibrio,,,,,,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,,,,,,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Espondilosis cervical,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,,
Espondilosis cervical,dolor de espalda,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,alteración del estado de conciencia,,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,alteración del estado de conciencia,,,,,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,
Ictericia,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,,
Ictericia,picazón,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,,
Ictericia,picazón,vómitos,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,orina oscura,dolor abdominal,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,dolor abdominal,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,dolor muscular,,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,
Malaria,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,,
Malaria,escalofríos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,,
Malaria,escalofríos,vómitos,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,náuseas,diarrea,dolor muscular,,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,diarrea,dolor muscular,,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,dolor muscular,,,,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,
Varicela,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,erupción en la piel,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,malestar general,manchas rojas en el cuerpo,,,,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,dolor muscular,manchas rojas en el cuerpo,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,manchas rojas en el cuerpo,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,
Dengue,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,,
Dengue,erupción en la piel,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,,
Dengue,erupción en la piel,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,dolor de vientre,,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,
Fiebre tifoidea,escalofríos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,
Hepatitis A,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis A,dolor articular,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis A,dolor articular,vómitos,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,,
Hepatitis B,picazón,fatiga,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,
Hepatitis B,picazón,fatiga,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,
Hepatitis B,fatiga,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,,
Hepatitis B,picazón,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,,
Hepatitis B,picazón,fatiga,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,,
